date,station,temperature,precipitation,humidity,atmospheric_pressure,dew_point
20/06/2024,"Itarema",22.1,78.0,87.0,1006.0,26.9
21/06/2024,"Itarema",20.8,86.0,89.0,1011.0,18.2
25/01/2026,"Itarema",24.6,85.0,89.0,1009.0,18.9
26/01/2026,"Itarema",27.9,83.0,94.0,1003.0,23.1
27/01/2026,"Itarema",28.7,84.0,93.0,1001.0,24.0
28/01/2026,"Itarema",29.6,92.0,98.0,1007.0,22.4
29/01/2026,"Itarema",24.8,87.0,89.0,1011.0,18.2
30/01/2026,"Itarema",25.6,88.0,74.0,1001.0,28.4
31/01/2026,"Itarema",27.1,84.0,92.0,1005.0,25.3
01/02/2026,"Itarema",27.5,76.0,86.0,1008.0,26.8
